class_index,class,image_name
436,n02814533,ILSVRC2012_val_00029057.JPEG
436,n02814533,ILSVRC2012_val_00024318.JPEG
436,n02814533,ILSVRC2012_val_00005774.JPEG
436,n02814533,ILSVRC2012_val_00040706.JPEG
436,n02814533,ILSVRC2012_val_00020038.JPEG
290,n02128925,ILSVRC2012_val_00046612.JPEG
290,n02128925,ILSVRC2012_val_00018843.JPEG
290,n02128925,ILSVRC2012_val_00045488.JPEG
290,n02128925,ILSVRC2012_val_00027974.JPEG
290,n02128925,ILSVRC2012_val_00000610.JPEG
116,n01955084,ILSVRC2012_val_00028635.JPEG
116,n01955084,ILSVRC2012_val_00019925.JPEG
116,n01955084,ILSVRC2012_val_00031321.JPEG
116,n01955084,ILSVRC2012_val_00007287.JPEG
116,n01955084,ILSVRC2012_val_00025056.JPEG
616,n03627232,ILSVRC2012_val_00039484.JPEG
616,n03627232,ILSVRC2012_val_00030673.JPEG
616,n03627232,ILSVRC2012_val_00023148.JPEG
616,n03627232,ILSVRC2012_val_00031210.JPEG
616,n03627232,ILSVRC2012_val_00030345.JPEG
986,n12057211,ILSVRC2012_val_00023594.JPEG
986,n12057211,ILSVRC2012_val_00018738.JPEG
986,n12057211,ILSVRC2012_val_00018363.JPEG
986,n12057211,ILSVRC2012_val_00047719.JPEG
986,n12057211,ILSVRC2012_val_00046774.JPEG
670,n03791053,ILSVRC2012_val_00043373.JPEG
670,n03791053,ILSVRC2012_val_00022929.JPEG
670,n03791053,ILSVRC2012_val_00016880.JPEG
670,n03791053,ILSVRC2012_val_00001965.JPEG
670,n03791053,ILSVRC2012_val_00003879.JPEG
301,n02165456,ILSVRC2012_val_00027557.JPEG
301,n02165456,ILSVRC2012_val_00021935.JPEG
301,n02165456,ILSVRC2012_val_00029943.JPEG
301,n02165456,ILSVRC2012_val_00019299.JPEG
301,n02165456,ILSVRC2012_val_00036005.JPEG
893,n04548362,ILSVRC2012_val_00011817.JPEG
893,n04548362,ILSVRC2012_val_00047367.JPEG
893,n04548362,ILSVRC2012_val_00036228.JPEG
893,n04548362,ILSVRC2012_val_00034876.JPEG
893,n04548362,ILSVRC2012_val_00040243.JPEG
692,n03871628,ILSVRC2012_val_00005248.JPEG
692,n03871628,ILSVRC2012_val_00015580.JPEG
692,n03871628,ILSVRC2012_val_00020129.JPEG
692,n03871628,ILSVRC2012_val_00022746.JPEG
692,n03871628,ILSVRC2012_val_00048769.JPEG
925,n07584110,ILSVRC2012_val_00049325.JPEG
925,n07584110,ILSVRC2012_val_00017820.JPEG
925,n07584110,ILSVRC2012_val_00006798.JPEG
925,n07584110,ILSVRC2012_val_00033921.JPEG
925,n07584110,ILSVRC2012_val_00011392.JPEG
266,n02113712,ILSVRC2012_val_00037896.JPEG
266,n02113712,ILSVRC2012_val_00029675.JPEG
266,n02113712,ILSVRC2012_val_00007261.JPEG
266,n02113712,ILSVRC2012_val_00021546.JPEG
266,n02113712,ILSVRC2012_val_00040991.JPEG
665,n03785016,ILSVRC2012_val_00009171.JPEG
665,n03785016,ILSVRC2012_val_00013130.JPEG
665,n03785016,ILSVRC2012_val_00006596.JPEG
665,n03785016,ILSVRC2012_val_00033284.JPEG
665,n03785016,ILSVRC2012_val_00000853.JPEG
707,n03902125,ILSVRC2012_val_00037873.JPEG
707,n03902125,ILSVRC2012_val_00040702.JPEG
707,n03902125,ILSVRC2012_val_00027309.JPEG
707,n03902125,ILSVRC2012_val_00020883.JPEG
707,n03902125,ILSVRC2012_val_00029291.JPEG
839,n04366367,ILSVRC2012_val_00000778.JPEG
839,n04366367,ILSVRC2012_val_00044144.JPEG
839,n04366367,ILSVRC2012_val_00017220.JPEG
839,n04366367,ILSVRC2012_val_00041283.JPEG
839,n04366367,ILSVRC2012_val_00043724.JPEG
438,n02815834,ILSVRC2012_val_00035757.JPEG
438,n02815834,ILSVRC2012_val_00039087.JPEG
438,n02815834,ILSVRC2012_val_00001912.JPEG
438,n02815834,ILSVRC2012_val_00032560.JPEG
438,n02815834,ILSVRC2012_val_00013020.JPEG
292,n02129604,ILSVRC2012_val_00047614.JPEG
292,n02129604,ILSVRC2012_val_00031492.JPEG
292,n02129604,ILSVRC2012_val_00035494.JPEG
292,n02129604,ILSVRC2012_val_00030651.JPEG
292,n02129604,ILSVRC2012_val_00034321.JPEG
784,n04154565,ILSVRC2012_val_00029403.JPEG
784,n04154565,ILSVRC2012_val_00003547.JPEG
784,n04154565,ILSVRC2012_val_00002722.JPEG
784,n04154565,ILSVRC2012_val_00035558.JPEG
784,n04154565,ILSVRC2012_val_00013516.JPEG
419,n02786058,ILSVRC2012_val_00037985.JPEG
419,n02786058,ILSVRC2012_val_00031915.JPEG
419,n02786058,ILSVRC2012_val_00015343.JPEG
419,n02786058,ILSVRC2012_val_00041679.JPEG
419,n02786058,ILSVRC2012_val_00049896.JPEG
585,n03476991,ILSVRC2012_val_00002442.JPEG
585,n03476991,ILSVRC2012_val_00004982.JPEG
585,n03476991,ILSVRC2012_val_00038345.JPEG
585,n03476991,ILSVRC2012_val_00031303.JPEG
585,n03476991,ILSVRC2012_val_00042260.JPEG
451,n02865351,ILSVRC2012_val_00012866.JPEG
451,n02865351,ILSVRC2012_val_00037783.JPEG
451,n02865351,ILSVRC2012_val_00011687.JPEG
451,n02865351,ILSVRC2012_val_00012887.JPEG
451,n02865351,ILSVRC2012_val_00031971.JPEG
844,n04372370,ILSVRC2012_val_00028201.JPEG
844,n04372370,ILSVRC2012_val_00041016.JPEG
844,n04372370,ILSVRC2012_val_00003304.JPEG
844,n04372370,ILSVRC2012_val_00004380.JPEG
844,n04372370,ILSVRC2012_val_00047334.JPEG
859,n04442312,ILSVRC2012_val_00010199.JPEG
859,n04442312,ILSVRC2012_val_00009071.JPEG
859,n04442312,ILSVRC2012_val_00025862.JPEG
859,n04442312,ILSVRC2012_val_00026916.JPEG
859,n04442312,ILSVRC2012_val_00031310.JPEG
80,n01795545,ILSVRC2012_val_00043130.JPEG
80,n01795545,ILSVRC2012_val_00001537.JPEG
80,n01795545,ILSVRC2012_val_00000528.JPEG
80,n01795545,ILSVRC2012_val_00002991.JPEG
80,n01795545,ILSVRC2012_val_00029956.JPEG
949,n07745940,ILSVRC2012_val_00002412.JPEG
949,n07745940,ILSVRC2012_val_00001194.JPEG
949,n07745940,ILSVRC2012_val_00043920.JPEG
949,n07745940,ILSVRC2012_val_00007898.JPEG
949,n07745940,ILSVRC2012_val_00031440.JPEG
966,n07892512,ILSVRC2012_val_00024477.JPEG
966,n07892512,ILSVRC2012_val_00023635.JPEG
